"Year","Total Biomass (mt)","Spawning Biomass (mt)","Total Biomass 1+ (mt)","Fraction Unfished","Age-0 Recruits (1,000s)","Total Mortality (mt)","1-SPR","Exploitation Rate"
1977,144166,93833,143970,1,2116.42,0,0,0
1978,143921,93832.9,143725,0.999998934276853,2123.16,38.4,0.00407607,0.000267176900330492
1979,143463,93804.2,143265,0.999693071733825,2143.58,101.3,0.0107124,0.000707081282937214
1980,142762,93728.4,142560,0.998885253588823,2185.33,414.1,0.0429322,0.0029047418630752
1981,141605,93418.8,141396,0.995585774727441,2264.34,334.1,0.0349898,0.00236286740784746
1982,140452,93165.4,140230,0.99288523227436,2400.92,348.1,0.0366587,0.00248235042430293
1983,139299,92889.5,139062,0.989944902113329,2566.98,1391.1,0.137886,0.0100034516978039
1984,137247,91793.8,136999,0.978267773597775,2676.9,2470.1,0.232263,0.0180300586135665
1985,134396,89792,134137,0.956934127652318,2804.67,4560.1,0.385537,0.0339958400739542
1986,129932,86032.1,129638,0.916864003069283,3181.83,3925.1,0.356173,0.030277387802959
1987,126803,82546.8,126474,0.879720354246374,3552.95,3492.1,0.334643,0.0276112086278603
1988,124832,79267.3,124570,0.844769963658841,2835.78,3530.1,0.344373,0.0283382836959139
1989,123197,76031.7,122996,0.810287425532595,2177.38,6107,0.504858,0.0496520212039416
1990,119190,71056.4,119003,0.757264501827715,2014.66,8561,0.625071,0.0719393628732049
1991,112957,64745.1,112759,0.690003516886383,2139.35,9427,0.664947,0.0836030826807616
1992,106156,58218.5,105935,0.620448030010764,2384.6,24120,0.904657,0.227686789068769
1993,85506.4,41274.8,85278.5,0.439875097247237,2464.59,17677,0.899763,0.207285540904214
1994,72163.6,30888.3,71950,0.329183762642141,2309,16377,0.923107,0.227616400277971
1995,60658.6,22874.1,60450.8,0.243774578240065,2247.01,11893,0.907825,0.196738504701344
1996,54060.2,18414.5,53782.4,0.196247588801381,3003.6,5732,0.787896,0.106577616469328
1997,54345.3,18290.7,53846.5,0.194928223546087,5393.53,8254,0.867382,0.153287586008376
1998,53320.6,15904.1,53163.3,0.169493674933126,1701.03,9331.99,0.90609,0.175534438230885
1999,51057,12957.8,50906.8,0.138094273869534,1623.88,9474.98,0.92871,0.186124054153865
2000,48682.3,10529.9,48474.4,0.112219581597093,2248.39,8869,0.933095,0.182962553430264
2001,46833.1,8874.51,46669.6,0.0945777072032228,1767.45,5654,0.871489,0.12114952774397
2002,47750.5,9067.8,47590,0.0966376434729786,1734.95,6674,0.887712,0.140239546123135
2003,47198.4,9266.08,47025.5,0.0987507593277418,1869.7,5851,0.847826,0.124421856226941
2004,46982.6,10263.1,46855,0.109376232242388,1379.49,5498,0.836812,0.117340732045673
2005,46507,11400.2,46408.8,0.121494570140569,1061.5,5269,0.820857,0.113534502077192
2006,45686,12983.6,45568.5,0.138369230441316,1270.52,4095,0.759718,0.0898647091741005
2007,45725.8,15128,45487.3,0.161222597593597,2578.9,4064,0.723411,0.0893436189881571
2008,45993.9,16980,45735,0.180959790265685,2799.12,3712,0.686308,0.0811632229146168
2009,46825.3,18358.6,46624.5,0.195651849562521,2171.24,4026,0.710886,0.0863494514686485
2010,47419.2,18845.2,47256.3,0.200837658393103,1761.19,4455,0.740614,0.0942731445331099
2011,47572.9,18666.8,47470.9,0.198936408299852,1102.76,4487,0.750926,0.0945210644837153
2012,47422,18345.9,47332.3,0.195516502722923,969.816,4451,0.750803,0.0940372641937958
2013,46966.5,17820.3,46859.7,0.189915061865229,1155.23,3774,0.694554,0.0805382876971043
2014,46927.6,17341.8,46768.2,0.184815576609508,1723.83,2204,0.533109,0.0471260386330883
2015,48985.2,18110.7,48196.7,0.193009921882493,8525.02,2603,0.565783,0.0540078470102725
2016,53032.1,19043.6,52783.7,0.202952053115642,2685.54,3163,0.614192,0.0599238022344019
2017,56503.9,20212,56319.7,0.215403962358658,1991.93,3608,0.648025,0.0640628412438276
2018,59861.2,21475.1,59683,0.228865111421355,1926.21,4146,0.684442,0.0694670174086423
2019,62734.7,22284.7,62579.8,0.237493206014941,1675.05,3059,0.581778,0.0488815879884563
2020,66359.6,23173.3,66229.8,0.246963221894216,1403.36,2154,0.460679,0.0325231240317803
2021,70384.2,24133.5,70146.6,0.257196295546343,2568.71,3461,0.560138,0.0493395260782419
2022,72899.6,24460.7,72662,0.260683341681498,2568.71,3523,0.549759,0.0484847650766563
2023,75047.8,25655.8,74810.2,0.273419799004615,2568.71,3882,0.562848,0.0518913196328843
2024,76611.1,28510.7,76373.6,0.303845129112359,2568.71,4924.5,0.624463,0.064479087014361
2025,76993,32276.9,76755.4,0.343982394253621,2568.71,5048.66,0.624463,0.0657759584341949
2026,77193.7,35685.7,76956.2,0.380310764869502,2568.71,5212.49,0.624463,0.0677332040823222
2027,77231.2,37193.1,76993.6,0.396375475578954,2568.71,5348.75,0.624463,0.0694700598491303
2028,77170.4,36910.5,76932.8,0.393363741967112,2568.71,5403.55,0.624463,0.0702372720088181
