"Year","Recruitment (1,000s)","Lower Interval","Upper Interval","Recruitment Deviations","Lower Interval","Upper Interval"
2014,1723.83,501.885212719353,5920.8555932523,0.0516761,-1.27460604880646,1.37795824880646
2015,8525.02,4232.35448287142,17171.5215005085,1.63193,0.927954055960873,2.33590594403913
2016,2685.54,663.521220638305,10869.4716420101,0.455783,-1.16387243790436,2.07543843790436
2017,1991.93,580.924630343204,6830.12032482747,0.131771,-1.23783223275674,1.50137423275674
2018,1926.21,585.215163418843,6340.03559037058,0.0734271,-1.23035466226394,1.37720886226394
2019,1675.05,509.161166815711,5510.61763026313,-0.0816589,-1.37834951256787,1.21503171256787
2020,1403.36,423.189227360463,4653.75572503053,-0.274444,-1.5712953296146,1.0224073296146
2021,2568.71,1941.04010710401,3399.34813296798,0,0,0
2022,2568.71,1941.04010710401,3399.34813296798,0,0,0
2023,2568.71,1941.04010710401,3399.34813296798,0,0,0
2024,2568.71,1941.04010710401,3399.34813296798,0,0,0
