"Year","1-SPR","Lower Interval","Upper Interval","Fill in F method","Lower Interval","Upper Interval"
2014,0.533109,0.440653578921277,0.625564421078723,0.730391,0.376117709974463,1.08466429002554
2015,0.565783,0.474706609580799,0.656859390419201,0.834041,0.43245613935165,1.23562586064835
2016,0.614192,0.524148118607855,0.704235881392145,1.02815,0.544209412685262,1.51209058731474
2017,0.648025,0.559744694201144,0.736305305798856,1.1412,0.599444395069299,1.6829556049307
2018,0.684442,0.597878622651601,0.771005377348399,1.16739,0.612806430790485,1.72197356920952
2019,0.581778,0.490912697701934,0.672643302298066,0.948331,0.493313601205119,1.40334839879488
2020,0.460679,0.374262227957645,0.547095772042355,0.70408,0.357907241122567,1.05025275887743
2021,0.560138,0.470179965030378,0.650096034969623,0.931339,0.475835530136953,1.38684246986305
2022,0.549759,0.45696587712674,0.64255212287326,0.829294,0.463021810461108,1.19556618953889
2023,0.562848,0.46727212026149,0.65842387973851,0.80757,0.439088931050532,1.17605106894947
